county,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
angelina,15763.0,4728,6563627,1262,3418,19,3,26,2740,4503254,1255249,1944055,1303951,2713,26,1,1,422059,435034,448495,466869,924894,867072,973580,843033,1837446,1907102,1969940,1967558,3184399,3209208,3392014,3277460,24985,25737,26733,28170,29737,31285,30494,31315,33272,35214,34744,37273,38133,37485,37555,81510,82070,82553,83810,84518,84961,86029,86903,87282,87496,87365,87601,87901,87830,87805,2036544,2112269,2206896,2360893,2513351,2657994,2623389,2721392,2904032,3081076,3035372,3265174,3351891,3292273,3297553
blanco,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,35884,36850,38085,40230,89438,91150,92694,104602,144271,193148,138696,146424,269593,321148,269475,291255,29599,30741,32985,36191,40203,46862,47770,41037,41301,42944,43939,46389,47592,48112,48978,9096,9337,9554,9686,9835,10061,10315,10509,10569,10614,10636,10804,11038,11341,11626,269231,287033,315135,350542,395393,471476,492748,431256,436507,455804,467340,501192,525322,545640,569421
brazoria,9764.0,2234,864534,1431,795,2,1,5,594,1157985,198527,851871,107584,587,6,1,1,1162590,1222216,1269836,1413372,6521098,7244089,7580320,7645021,4839883,5026441,5155352,5200077,12523572,13492746,14005507,14258470,28489,28765,30716,33282,36096,37806,36222,36931,38904,40735,41752,44389,45577,45744,45925,261269,268051,274336,284248,293296,301336,309236,314453,319274,324433,330170,337782,345738,353828,362457,7443391,7710520,8426440,9460430,10586687,11392290,11201191,11613156,12421025,13215799,13785281,14993764,15757592,16185669,16645867
burne,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,160201,162974,167044,175848,251015,269290,286856,290871,701600,800969,947393,949216,1112816,1233233,1401294,1415935,27159,28199,29982,32862,34792,36805,34788,34729,37045,41080,39822,42901,44043,44398,45350,37776,38966,39798,41109,42026,42477,42611,42755,43216,43377,43605,43979,44781,45914,46804,1025977,1098791,1193220,1350943,1462154,1563345,1482363,1484831,1600941,1781921,1736420,1886748,1972302,2038496,2122566
chambers,114463.0,4376,6838095,1223,3087,21,5,40,3619,8435995,1527186,5305205,1603605,3558,53,8,5,131949,140841,148775,160148,614388,674247,563648,613853,1323564,1136758,1149205,1306884,2069901,1951847,1861629,2080885,27827,29588,30615,32897,35067,38081,36955,39184,42563,44651,46484,48965,51036,51462,51832,28021,28749,29388,29980,30714,31619,34230,35445,35683,36489,37350,38283,39059,40283,41441,779743,850620,899723,986242,1077049,1204093,1264957,1388885,1518775,1629270,1736162,1874533,1993426,2073025,2147981
cooke,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,184801,192826,195256,201679,1484333,1746713,1870062,1502299,655658,699144,838156,928310,2324792,2638683,2903474,2632289,25990,26857,29105,32117,34185,40667,36261,38825,42392,45358,48603,52654,49352,46575,47339,37598,37815,38143,38241,38252,38223,38413,38463,38384,38675,38429,38691,39063,39244,39895,977190,1015590,1110168,1228193,1307636,1554408,1392896,1493340,1627169,1754235,1867760,2037255,1927836,1827775,1888597
crocke,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,23024,23490,23457,25188,64804,79229,70474,71316,50387,50201,55210,58349,138214,152920,149141,154853,25519,23946,24580,26437,27285,31299,28617,29143,33992,33419,37720,38577,38106,36129,36757,3862,3857,3851,3739,3759,3783,3740,3701,3656,3703,3761,3786,3732,3653,3564,98553,92358,94656,98849,102566,118404,107029,107859,124273,123749,141865,146053,142211,131978,131002
dawson,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,89540,94105,95181,98643,107467,133874,124605,117079,185765,184037,197787,220822,382772,412016,417574,436545,21876,22668,24862,22545,27550,23680,25016,31813,28954,30240,36021,31858,32352,31539,36857,14354,14062,14092,13987,13865,13804,13741,13827,13744,13601,13202,13434,12984,13042,12813,314013,318752,350354,315331,381980,326882,343741,439876,397939,411295,475552,427982,420061,411331,472243
fort bend,11517.0,920,346700,586,332,1,0,1,283,551056,25507,488996,36552,282,1,0,0,1604252,1687741,1799770,1970423,5979070,6494371,6654571,6437225,10068399,11074965,11739942,12895806,17651721,19257077,20194282,21303455,34280,35203,37822,40953,44551,49149,45978,46798,49448,52521,54301,58706,61588,54489,54510,418747,441139,462953,490916,516564,542957,569130,590286,606499,625394,652496,683943,713881,741958,764828,14354531,15529458,17509786,20104295,23013549,26685610,26167726,27624339,29990231,32846015,35431372,40151774,43966778,40428293,41690472
galveston,80953.0,10143,6518133,4705,5388,31,8,11,4562,10139647,2088549,7032098,1019005,4506,52,4,3,2269448,2353375,2354272,2537354,4601894,5338676,3622757,4350482,5235406,5410180,5758736,5939233,12106748,13102231,11735766,12827068,31549,31872,33431,36287,38821,39935,40250,40715,43169,45171,45574,48068,50015,48529,49079,265269,269760,274806,279182,283770,288643,287428,292470,295609,301059,306662,313609,321305,329306,335036,8368997,8597841,9187021,10130542,11016278,11526923,11569093,11907882,12761027,13599275,13975675,15074714,16070220,15980973,16443373
hardin,69926.0,12277,33492557,2355,9520,195,31,176,13730,36685968,7216973,23050798,6418201,13454,260,16,11,134314,135629,139351,144888,395839,523803,455774,386660,598840,607698,622382,620603,1128994,1267130,1217507,1152151,24975,25474,27318,29676,31813,35128,34352,35039,37038,38996,38802,41272,42948,43581,44456,49472,50220,51141,51470,52446,53206,54228,54783,55061,55117,55301,55505,55758,56261,57139,1235539,1279317,1397064,1527427,1668461,1869024,1862822,1919532,2039328,2149366,2145805,2290777,2394716,2451909,2540181
harris,77407.0,19195,7335670,10514,8640,21,4,16,7175,12591100,1934100,9443718,1213287,7148,25,2,1,22510427,23718471,24916846,26559297,147166060,158361188,151076820,131583809,207419397,213813227,226394473,237641342,377095884,395892886,402388140,395784448,34827,37197,40005,43126,44569,48668,43940,45783,48983,53098,51664,54624,54100,51186,53188,3586133,3630185,3681829,3807435,3863344,3938580,4034866,4107854,4180816,4262689,4353517,4452695,4551362,4617041,4652980,124893249,135030598,147289948,164198980,172183772,191682384,177293047,188069409,204786974,226341627,224919633,243224870,246226696,236329533,247482118
jasper,180955.0,8974,26226043,1660,7026,105,17,166,9205,24928069,6041470,13855134,5031467,9005,188,12,4,124827,127928,129968,133635,308354,321827,341452,305414,431525,430216,467028,460598,864706,879972,938448,899647,21617,22099,23977,26437,27708,30110,29871,31419,32295,33752,33907,36940,37580,38392,39105,35580,35493,35558,34861,35069,35170,35331,35774,36192,35837,35600,35409,35250,35401,35561,769124,784373,852586,921622,971686,1058958,1055360,1123983,1168805,1209560,1207104,1308005,1324707,1359121,1390610
jefferson,201727.0,43832,96075919,9551,33189,716,111,265,57019,148531117,19779039,111718055,17034026,56193,739,87,65,1413624,1448371,1455041,1474244,13566377,14908675,12300819,13941360,6724921,6718890,7100207,7624253,21704922,23075937,20856067,23039857,26704,27099,28692,30982,31880,34080,33615,35250,36287,38394,37108,40654,41973,41607,42338,250183,250638,250849,245962,247629,249430,251332,252453,253397,251458,253022,252708,254889,255954,256299,6680961,6791951,7197370,7620295,7894405,8500467,8448527,8899093,9194899,9654481,9389256,10273693,10698531,10649563,10851311
liberty,93091.0,13460,16433393,4368,8943,69,17,63,10381,22099679,4247143,13334907,4517631,10256,117,8,7,263688,272573,284103,299823,522790,493670,500984,447422,773294,785445,835807,870210,1559772,1551687,1620894,1617455,22315,23105,24887,26470,27676,28826,27738,28273,30485,31937,32880,34301,35296,35566,35840,73734,74285,74303,74269,74515,74915,75041,75856,75970,76340,76827,78014,79542,81377,83658,1645376,1716327,1849204,1965925,2062267,2159513,2081508,2144696,2315935,2438059,2526049,2675923,2807520,2894262,2998337
montgomery,27688.0,5616,4636648,2278,3301,22,7,8,3107,5353636,1200469,2610252,1542919,3085,18,4,3,1595417,1712412,1829684,1981022,9774825,13863834,13704214,7985362,9983571,10891106,12063662,13484882,21353812,26467352,27597559,23451266,33621,34652,38752,43025,46613,51210,47412,49167,52156,59694,62153,64448,59630,56157,57585,341499,357607,372541,392497,411416,429818,445836,459185,471438,484453,498467,516798,535214,554522,570934,11481449,12391944,14436835,16886995,19177243,22011148,21138073,22576609,24588215,28918914,30981334,33306728,31914797,31140467,32877204
nacogdoches,35882.0,2629,2762590,731,1876,7,5,10,1514,2244899,462619,947419,834860,1501,12,1,1,361713,381138,388955,407766,500554,576968,538061,513730,862824,847405,863074,881926,1725091,1805511,1790091,1803422,23642,24265,25225,25430,26435,28869,28921,30965,31573,32234,32618,34297,35352,35185,36398,59816,60427,60939,61750,62274,62957,64012,64683,65639,65821,65163,65187,65464,65662,65580,1414170,1466260,1537173,1570281,1646220,1817502,1851262,2002894,2072434,2121677,2125476,2235735,2314303,2310348,2386951
newton,147313.0,3592,12979530,690,2726,72,19,85,3537,11112411,3687489,5331170,2093752,3403,129,5,2,33636,34421,35271,36616,19560,19559,18480,17159,366091,289799,287929,384304,419287,343779,341680,438079,16399,16736,17591,18279,20367,22936,22418,23444,24793,25949,26824,29028,30099,30511,31306,14938,14560,14625,14349,14335,14393,14446,14448,14561,14431,14332,14296,14169,14186,13952,244963,243680,257270,262281,291956,330116,323850,338721,361017,374475,384437,414979,426466,432824,436784
orange,126321.0,19308,68599543,3401,15046,363,66,432,24058,68411674,12397967,44327199,11686506,23505,501,52,39,275347,282897,285964,291632,1632454,1776909,1706794,1517656,1190445,1254474,1314924,1301092,3098246,3314280,3307682,3110379,25034,25076,26682,29380,31545,33193,33024,34698,36873,38478,37832,40465,41881,42583,43412,83553,83580,83500,81687,82255,82612,81586,82013,82337,82889,82816,83245,83928,84508,85047,2091655,2095889,2227971,2399935,2594705,2742129,2694335,2845717,3036035,3189400,3133092,3368507,3514948,3598580,3692033
polk,54984.0,5861,8786524,1781,4007,40,9,24,3873,7799147,2272936,3819399,1706813,3826,46,1,0,178761,184353,188950,195238,219520,216664,199806,172596,438484,489331,498146,532319,836765,890348,886903,900153,24557,24807,26050,27933,29904,31332,31816,32688,34525,36905,36806,37441,37888,38214,38210,44779,45315,45472,45495,45727,45794,45537,45445,45580,45512,45532,45825,46614,47735,49162,1099626,1124107,1184553,1270823,1367416,1434796,1448794,1485513,1573647,1679628,1675849,1715730,1766129,1824129,1878484
sabine,24370.0,2279,2741514,759,1492,16,1,11,1526,2902184,644244,1531669,726272,1510,16,0,0,27693,29378,30800,33667,138955,117993,110827,101035,56843,64033,68452,71917,223491,211404,210079,206619,23137,23689,24739,26379,27777,30115,28801,29018,30146,31444,30807,32205,33520,34212,35371,10482,10498,10445,10583,10541,10565,10721,10870,10725,10522,10423,10428,10447,10385,10461,242519,248686,258395,279173,292797,318162,308779,315428,323319,330851,321103,335833,350188,355295,370018
san augustine,17581.0,1260,1923605,325,920,3,0,12,843,1562550,398144,747670,416735,836,6,1,0,24963,25714,25450,25991,31207,40624,38699,44526,58424,60496,64233,65011,114594,126835,128381,135528,20136,20531,21473,21652,23176,24827,25694,28412,29155,30258,30933,33876,36371,36077,38277,9034,9085,9060,9128,9048,9039,8938,8857,8793,8789,8664,8473,8340,8283,8253,181912,186523,194541,197642,209698,224409,229652,251646,256362,265934,268003,287032,303335,298823,315897
san jacinto,14478.0,3471,5269934,976,2445,22,4,24,2384,5040148,1452654,2397383,1190111,2344,35,5,4,51560,52699,55465,57870,53179,50658,52248,45988,97173,106254,112445,162140,201912,209611,220159,265998,19989,21164,22976,24555,25282,27070,26065,26424,27931,30165,30629,32364,32374,33290,33712,24100,24756,25014,25151,25719,25889,26086,26474,26781,26946,26737,27056,27361,27757,28270,481737,523933,574730,617580,650215,700809,679926,699559,748031,812837,818934,875628,885779,924030,953050
shelby,6368.0,1168,869452,375,788,1,1,3,512,782781,187208,365112,230462,509,2,1,0,83664,86976,90039,92780,385591,460250,457523,472124,259733,268655,325745,383148,728988,815881,873307,948052,23659,24207,24980,25224,27088,28677,28788,33574,32163,34486,34700,38163,39591,35719,38554,25407,25212,25299,25324,25433,25381,25520,25457,25730,26059,25984,25667,25503,25777,25513,601095,610310,631963,638762,688936,727862,734670,854690,827546,898675,901655,979530,1009687,920730,983636
rinity,52385.0,1229,1187403,343,877,1,2,6,783,1241866,237360,639785,364722,775,8,0,0,35024,35803,36885,37837,31959,39856,42700,37720,87456,89464,95065,97730,154439,165124,174650,173288,20946,21248,21732,23488,25342,27008,27156,27551,28760,29881,31387,32632,32943,34006,34383,14156,14246,14395,14376,14425,14380,14472,14729,14687,14370,14441,14276,14507,14513,14667,296507,302702,312829,337670,365556,388371,393006,405806,422394,429383,453257,465856,477898,493525,504293
yler,278225.0,5217,18722891,1029,3926,132,20,110,5168,15081071,4580932,7231834,3268307,4996,159,13,8,103309,104644,106518,112449,46093,41628,52965,50280,107944,112946,122017,129961,257346,259218,281500,292691,20250,20361,21758,23011,23945,25594,25353,26068,27238,27979,28502,30057,31047,31293,31551,20823,21038,20935,21034,21279,21570,21737,21762,21660,21484,21495,21448,21364,21434,21539,421676,428362,455505,484013,509527,552064,551106,567281,589982,601092,612656,644667,663289,670737,679576
walker,10771.0,1043,1160975,369,659,5,1,9,592,1130149,375256,516063,238830,580,12,0,0,833700,881338,920855,952980,210901,223583,234858,204211,676855,680615,713060,753365,1721456,1785537,1868773,1910556,18128,17674,18200,19001,20091,21889,21693,22147,23050,23762,24652,26066,26456,27024,27302,63609,64551,65676,65591,65517,65726,66748,68241,68408,68596,69426,70001,70718,71701,72245,1153125,1140894,1195307,1246276,1316333,1438675,1447968,1511305,1576790,1629994,1711483,1824644,1870941,1937669,1972461
